TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop Acer Aspire 3 A315-58-53S6 i5 1135G7,11.490.000,15.6 inch, 1920 x 1080 Pixels, TN," 60 Hz, Acer ComfyView LED-backlit",Intel, i5, 1135G7,8 GB , DDR4, 2400 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home (ColorOS 12),1.7 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2086TU i3 1215U,13.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS FHD",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home,1.65 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2058TU i5 1240P,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 250 nits, IPS FHD",Intel, i5, 1240P,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.702 kg,Trung Quốc,FPT
Laptop Lenovo Gaming Legion 5 15ARH7 R5 6600H,24.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 165 Hz, 300 nits, IPS",AMD,Ryzen 5, 6600H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2081TU i5 1240P,18.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, FHD",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Dell Inspiron 16 N5620 i5 1240P,24.990.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 250 nits, Anti - Glare",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.97 kg,Trung Quốc,FPT
Laptop Lenovo Yoga 7 14ACN6 R5 5600U,17.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS LCD",AMD,Ryzen 5, 5600U,8 GB, LPDDR4X, 4266 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.45 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX506HC-HN949W i5 11400H,21.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, Anti-Glare LED Backlit",Intel, i5, 11400,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel HD Graphics,Windows 11 Home,2.3 kg,Trung Quốc,FPT
Laptop HP Pavilion 14 dv2035TU i5 1235U,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, BrightView LED Backlit Chính:",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home,1.41 kg,Trung Quốc,FPT
Laptop MSI GF63 Thin 11UC-444VN i5 11400H,17.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home Single Language,1.86 kg,Trung Quốc,FPT
Laptop Lenovo Gaming Legion 5 15ARH7 R7 6800H,26.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 165 Hz, 300 nits, IPS",AMD,Ryzen 7, 6800H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop MSI Gaming Katana GF66 12UCK-815VN i5 12450H,20.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",Intel, i5, 12450H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.25 kg,Trung Quốc,FPT
Laptop Asus Gaming TUF FA506ICB-HN355W R5 4600H,18.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",AMD,Ryzen 5, 4600H,8 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11,2.3 kg,Trung Quốc,FPT
Laptop HP Pavilion 14 dv2036TU i5 1235U,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, BrightView LED Backlit Chính:",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home,1.41 kg,Trung Quốc,FPT
Laptop Dell Inspiron N3520 i3 1215U,12.290.000,15.6 inch , 1920 x 1080 Pixels, WVA," 120 Hz, 250 nits, Wide-Viewing Angle (WVA) Chính:",Intel, i3, 1215U,8 GB , DDR4, 2666 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.9 kg,Trung Quốc,FPT
Laptop HP 15s fq5161TU i5 1235U,16.690.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti-Glare",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Asus Vivobook A515EA-BQ3013W,12.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti-glare LED-backlit",Intel, i3, 1115G4,8 GB, DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home,1.8 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2087TU i3 1215U,13.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS FHD",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home,1.65,Trung Quốc,FPT
Laptop Asus ROG Strix Gaming G513IE-HN246W R7 4800H,20.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",AMD,Ryzen 7, 4800H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 Ti 4 GB; AMD Radeon Graphics,Windows 11,2.1 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2037TX i5 1235U,17.590.000,15.6 inch, 1920 x 1080 Pixels, IPS," 250 nits, IPS FHD",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,NVIDIA GeForce MX550 2GB; Intel Iris Xe Graphics,Windows 11 Home Single Language,1.71 kg,Trung Quốc,FPT
Laptop HP Pavilion x360 14-ek0058TU i3 1215U,14.890.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, IPS FHD",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.53 kg,Trung Quốc,FPT
Laptop HP 15s-fq5081TU i5-1235U,13.890.000,15.6 inch, 1366 x 768 Pixels, IPS," 250 nits, BrightView Micro-edge WLED-backlit",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop Asus Vivobook A1405VA-KM059W i5 13500H,17.490.000,14.0 inch , 2880 x 1800 Pixels, OLED," 90 Hz, 600 nits, OLED Chính:",Intel, i5, 13500H,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.6 kg,Trung Quốc,FPT
Laptop Lenovo Yoga 7 14ACN6 R7 5800U,18.990.000,14.0 inch, 1920 x 1080 Pixels, IPS Glossy," 300 nits, IPS LCD",AMD,Ryzen 7, 5800U,8 GB, LPDDR4X, 4266 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 10 Home,1.45 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX517ZE-HN045W i5 12450H,22.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, Anti -glare LED-Backlit Display",Intel, i5, 12450H,8 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel Iris Xe Graphics,Windows 11,2 kg,Trung Quốc,FPT
Laptop Acer Aspire 5 A514-54-5127 i5 1135G7,14.190.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView Anti-glare LED-backlit",Intel, i5, 1135G7,8 GB, DDR4, 2666 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.45 kg,Trung Quốc,FPT
Laptop MSI Modern 14 C13M-608VN i5 1335U,17.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS",Intel, i5, 1335U,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.4 kg,Trung Quốc,FPT
MacBook Pro 14 inch M2 Pro 2023 12CPU 19GPU 16GB,60.490.000,14.2 inch, 3024 x 1964 Pixels, OLED," 120 Hz, 1000 nits, Retina",Apple,ro, 12-Core,16 GB, Hãng không công bố, Hãng không công bố,SSD 1 TB,Apple M2 Pro 19-core GPU,Ventura,1.6 kg,Trung Quốc,FPT
MacBook Pro 16 inch M2 Pro 2023 12CPU 19GPU 16GB,57.990.000,16.2 inch, 3456 x 2234 Pixels, OLED," 120 Hz, 1000 nits, Retina",Apple,ro, 12-Core,16 GB, Hãng không công bố, Hãng không công bố,SSD 512 GB,Apple M2 Pro 19-core GPU,Ventura,2.15 kg,Trung Quốc,FPT
MacBook Pro 14 inch M2 Pro 2023 10CPU 16GPU 16GB,47.990.000,14.2 inch, 3024 x 1964 Pixels, OLED," 120 Hz, 1000 nits, Retina",Apple,, 10-Core,16 GB, Hãng không công bố, Hãng không công bố,SSD 512 GB,Apple M1,Ventura,1.6 kg,Trung Quốc,FPT
Laptop LG Gram 16Z90R-E.AH75A5 i7-1360P,46.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 60 Hz, Anti - Glare",Intel, i7, 1360P,16 GB, LPDDR5, 6000 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home,1299 g,Trung Quốc,FPT
Laptop LG Gram 16Z90R-G.AH76A5 i7 1360P,43.990.000,16.0 inch, 2560 x 1600 Pixels, OLED," 120 Hz, OLED",Intel, i7, 1360P,16 GB, DDR5, 6000 MHz,SSD 512 GB,,Windows 11,2 kg,Trung Quốc,FPT
Laptop Acer Predator Helios Neo Gaming PHN16-71-74BA i7-13700HX,42.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 165 Hz, Acer ComfyView LED-backlit",Intel, i7, 13700HX,16 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4060 8GB,Windows 11 Home Single Language,2.6 kg,Trung Quốc,FPT
Laptop Dell Gaming G15 5530 i7 1355U,40.990.000,15.6 inch, 1920 x 1080 Pixels, WVA," 165 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border",Intel, i7, 1355U,16 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4060 8GB,Windows 11 Home Single Language,2.65 kg,Trung Quốc,FPT
Laptop Acer Predator Helios Neo Gaming PHN16-71-7460 i7 13700HX,38.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 165 Hz, Acer ComfyView LED-backlit",Intel, i7, 13700HX,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,Windows 11 Home Single Language,2.6 kg,Trung Quốc,FPT
Laptop MSI Creator M16 B13VE-830VN i7 13700H,37.990.000,16.0 inch, 1920 x 1200 Pixels, IPS," 144 Hz, IPS",Intel, i7, 13700H,16 GB, DDR5, 5200 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,Windows 11 Home,2.26 kg,Trung Quốc,FPT
Laptop LG Gram Style 14Z90RS-G.AH54A5 i5 1340P,36.490.000,14.0 inch , 2880 x 1800 Pixels, OLED," 90 Hz, OLED",Intel, i5, 1340P,16 GB, DDR5, 6000 MHz,SSD 512 GB,,Windows 11 Home,1.5 kg,Trung Quốc,FPT
MacBook Pro 13 inch M2 2022 8CPU 10GPU 16GB,35.990.000,13.3 inch, 2560 x 1600 Pixels, 500 nits, Retina,Apple,, 8 - Core,16 GB, LPDDR4, 3200 MHz,SSD 256 GB,Apple M2 GPU 10 nhân,macOS 12,1.4 kg,Trung Quốc,FPT
Laptop Acer Predator Helios Neo Gaming PHN16-71-54CD i5 13500HX,35.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 165 Hz, Acer ComfyView LED-backlit",Intel, i5, 13500HX,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,Windows 11 Home Single Language,2.6 kg,Trung Quốc,FPT
Laptop MSI Gaming Katana 15 B13VFK-676VN i7 13620H,35.890.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, IPS",Intel, i7, 13620H,16 GB, DDR5, 5200 MHz,SSD 1 TB,NVIDIA GeForce RTX 4060 8GB; Intel UHD Graphics,Windows 11 Home,2.25 kg,Trung Quốc,FPT
MacBook Air 13 inch M2 2022 8CPU 8GPU 16GB,34.490.000,13.6 inch, 2560 x 1644 Pixels, IPS," 60 Hz, 500 nits, Liquid Retina",Apple,, 8 - Core,16 GB, LPDDR4, 3200 MHz,SSD 256 GB,Apple M2 GPU 8 nhân,Ventura,1.24,Trung Quốc,FPT
Laptop Acer Predator Gaming Helios PH315-54-99S6 i9 11900H,32.990.000,15.6 inch, 2560 x 1440 Pixels, IPS," 165 Hz, Acer ComfyView LED-backlit",Intel, i9, 11900H,16 GB, LPDDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; Intel UHD Graphics,Windows 11 Home Single Language,2.3 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX507ZM-HN123W i7 12700H,31.990.000,15.6 inch, FHD , IPS," 144 Hz, 250 nits, IPS FHD",Intel, i7, 12700H,16 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; Intel Iris Xe Graphics,Windows 11 Home,2.20 kg,Trung Quốc,FPT
Laptop MSI Gaming Katana 15 B13VEK-252VN i7 13620H,31.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, IPS FHD",Intel, i7, 13620H,8 GB, DDR5, 5200 MHz,SSD 512 GB,,Windows 11 Home,2.29 kg,Trung Quốc,FPT
Laptop Asus Vivobook Pro K3405VC-KM070W i9 13900H,31.990.000,14.0 inch , 2880 x 1800 Pixels, IPS," 90 Hz Màn hình chính:, OLED Chính:",Intel, i9, 13900H,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1400 g,Trung Quốc,FPT
Laptop Lenovo ThinkPad P15s G2 T i5 1135G7,29.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 75 Hz, 300 nits, Anti-Glare",Intel, i5, 1135G7,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA Quadro T500 4GB,Windows 11,1.5 kg,Trung Quốc,FPT
Laptop HP Gaming OMEN 16-b0178TX i5 11400H,29.990.000,16.1 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 300 nits, IPS LCD",Intel, i5, 11400H,16 GB, DDR4, 2933 MHz,SSD 1 TB,NVIDIA GeForce RTX 3050 Ti 4 GB,Windows 11 Home,2.3 kg,Trung Quốc,FPT
MacBook Pro 13 inch M2 2022 8CPU 10GPU 8GB,29.890.000,13.3 inch, 2560 x 1600 Pixels, 500 nits, Retina,Apple,, 8 - Core,8 GB, LPDDR4, 3200 MHz,SSD 256 GB,Apple M2 GPU 10 nhân,macOS 12,1.4 kg,Trung Quốc,FPT
Laptop HP Envy X360 13-bf0090TU i7 1250U,29.690.000,13.3 inch, 2880 x 1800 Pixels, OLED," 60 Hz, OLED",Intel, i7, 1250U,16 GB, LPDDR4, 4267 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.33 kg,Trung Quốc,FPT
Laptop MSI Gaming Cyborg 15 A12VF-267VN i7 12650H,29.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",Intel, i7, 12650H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4060 8GB; Intel HD Graphics,Windows 11 Home,1.98 kg,Trung Quốc,FPT
Laptop Dell Inspiron 16 N5620 i7 1255U,28.990.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 300 nits, Anti-Glare LED Backlit",Intel, i7, 1255U,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.87 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad T14s Gen 2 i7 1165G7,28.190.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, Anti-Glare LED-Backlit Display",Intel, i7, 1165G7,16 MB, LPDDR4, 4266 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 10 Pro,1.36 kg,Trung Quốc,FPT
Laptop Asus Zenbook Flip UP3404VA-KN038W i5 1340P,27.990.000,14.0 inch , 2880 x 1800 Pixels, IPS," 90 Hz, 550 nits, OLED Chính:",Intel, i5, 1340P,16 GB, LPDDR5, 5500 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.50 kg,Trung Quốc,FPT
MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB,27.690.000,13.6 inch, 2560 x 1644 Pixels, IPS," 60 Hz, 500 nits, Liquid Retina",Apple,, 8 - Core,8 GB, LPDDR4, 3200 MHz,SSD 256 GB,Apple M2 GPU 8 nhân,Ventura,1.24,Trung Quốc,FPT
Laptop MSI Gaming Cyborg 15 A12VE-240VN i7 12650H,26.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, IPS",Intel, i7, 12650H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel UHD Graphics,Windows 11 Home,1.98 kg,Trung Quốc,FPT
Laptop Gigabyte Gaming G5 KF-E3VN313SH i5 12500H,26.190.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, FHD",Intel, i5, 12500H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 4060 8GB; Intel Iris Xe Graphics,Windows 11 Home,1.9 kg,Trung Quốc,FPT
Laptop Asus Zenbook UX3402VA-KM203W i5 1340P,25.990.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, 400 nits, OLED",Intel, i5, 1340P,16 GB, DDR5, 4800 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.39 kg,Trung Quốc,FPT
Laptop Acer Swift X SFX16-51G-516Q i5 11320H,25.990.000,16.1 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView LED-backlit",Intel, i5, 11320H,16 GB, LPDDR4X, 4266 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11 Home,1.9 kg,Trung Quốc,FPT
Laptop Asus Vivobook M3500QC-L1516W R9 5900HX,25.490.000,15.6 inch , 1920 x 1080 Pixels, OLED," 60 Hz, 600 nits, OLED Chính:",AMD,Ryzen 9, 5900HX,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,1.65 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad T14s Gen 2 i5 1135G7,25.490.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, Anti-Glare LED-Backlit Display",Intel, i5, 1135G7,16 GB, LPDDR4, 4266 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 10 Pro,1.36 kg,Trung Quốc,FPT
Laptop Acer Nitro Gaming AN515-58-769J i7 12700H,25.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",Intel, i7, 12700H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home Single Language,2.5 kg,Trung Quốc,FPT
Laptop Dell Vostro V5620 i5 1240P,24.990.000,16.0 inch, 1200 x 1920 Pixels, TFT," 60 Hz, Anti -glare LED-Backlit Display",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.845 kg,Trung Quốc,FPT
Laptop Asus Vivobook S3504VA-L1227WS i7 1360P,23.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 550 nits, OLED",Intel, i7, 1360P,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Gigabyte Gaming G5 MF-F2VN313SH i5 12450H,23.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Anti-Glare",Intel, i5, 12450H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,1.9 kg,Trung Quốc,FPT
Laptop Asus Vivobook Pro M6500QC-MA002W R5 5600H,22.990.000,15.6 inch , 2880 x 1620 Pixels, OLED," 120 Hz, 600 nits, OLED Chính:",AMD,Ryzen 5, 5600H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,1.8 kg,Trung Quốc,FPT
Laptop HP Envy x360 13-bf0096TU i5 1230U,22.690.000,13.3 inch, 2880 x 1800 Pixels, OLED," 60 Hz, OLED",Intel, i5, 1230U,8 GB , LPDDR4X, 4266 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.34 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2034TX i7 1255U,22.090.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, IPS FHD",Intel, i7, 1255U,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce MX550 2GB; Intel Iris Xe Graphics,Windows 11 Home Single Language,1.733 kg,Trung Quốc,FPT
Laptop Acer Nitro Gaming AN515-57-71VV i7 11800H,21.890.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 260 nits, LED Backlit",Intel, i7, 11800H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.2 kg,Trung Quốc,FPT
