TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop HP Pavilion 15-eg2089TU i7 1260P,21.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS FHD",Intel, i7, 1260P,8 GB , DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Asus Zenbook UX3402ZA-KM218W i5 1240P,21.090.000,14.0 inch, 2880 x 1800 Pixels, 90 Hz," 400 nits, OLED",Intel, i5, 1240P,8 GB, DDR5, 4800 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.39 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B13M-297VN i7 1355U,20.990.000,15.6 inch , FHD , IPS," 60 Hz, IPS Chính:",Intel, i7, 1355U,16 GB, LPDDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad 5 Pro 16ARH7 R5 6600HS,20.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 120 Hz, 350 nits, IPS",AMD,Ryzen 5, 6600HS,16 GB, LPDDR5, 6400 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB; AMD Radeon Graphics,Windows 11 Home,1.95 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad 5 Pro 16ARH7 R5 6600HS,20.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 120 Hz, 350 nits, IPS",AMD,Ryzen 5, 6600HS,16 GB, LPDDR5, 6400 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB; AMD Radeon Graphics,Windows 11 Home,1.95 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX517ZC-HN077W i5 12450H,20.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, Anti-glare LED-backlit",Intel, i5, 12450H,8 GB , DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.0 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2055TU i7 1260P,19.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, IPS FHD",Intel, i7, 1260P,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Asus Gaming ROG G513IC-HN729W R7 4800H,19.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, IPS LCD",AMD,Ryzen 7, 4800H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,2.1 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad E14 Gen 3 R7 5700U,19.490.000,14.0 inch, 1920 x 1080 Pixels, IPS," 300 nits, Anti-glare WLED-backlit",AMD,Ryzen 7, 5700U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.64 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad E14 G4 R7 5825U,19.190.000,1.4 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, 400 nits, IPS",AMD,Ryzen 7, 5825U,8 GB , DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.64 kg,Trung Quốc,FPT
Laptop Dell Latitude L5420CTO i5 1135G7,18.990.000,14.0 inch, 1920 x 1080 Pixels, 60 Hz," 220 nits, Anti-glare LED-backlit",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel HD Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop Lenovo Yoga Slim 7 Pro 14IHU5 O i5 11320H,18.990.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, 400 nits, OLED",Intel, i5, 11320H,16 GB, LPDDR4X, 4266 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.38 kg,Trung Quốc,FPT
Laptop Lenovo ThinkBook 15 G2 ITL i5 1135G7,18.690.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, IPS LCD LED Backlit, True Tone",Intel, i5, 1135G7,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce MX450 2GB; Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop HP Pavilion 15 eg2036TX i5 1235U,18.590.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, IPS FHD",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.733 kg,Trung Quốc,FPT
Laptop MSI Gaming GF63 Thin 11UD-473VN i5 11400H,18.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 358 nits, IPS LCD",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel UHD Graphics,Windows 11 Home,1.86 kg,Trung Quốc,FPT
Laptop Asus Vivobook Pro M3401QA-KM025W R7 5800H,18.490.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, 600 nits, OLED",AMD,Ryzen 7, 5800H,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop HP 15s-fq5146TU i7 1255U,18.390.000,15.6 inch, 1920 x 1080 Pixels, WVA," 60 Hz, 250 nits, Wide-Viewing Angle (WVA)",Intel, i7, 1255U,8 GB , DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop Asus Vivobook M3504YA-L1144W R5 7530U,17.990.000,15.6 inch, FHD , IPS," 60 Hz, OLED",AMD,Ryzen 5, 7530U,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B13M-438VN i5 1335U,17.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, FHD",Intel, i5, 1335U,8 GB, DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Asus Zenbook UX425EA-KI839W i5 1135G7,17.490.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 400 nits, IPS LCD",Intel, i5, 1135G7,8 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.17 kg,Trung Quốc,FPT
Laptop Asus Expertbook B5302CEA-L50916W i5 1135G7,17.490.000,13.3 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 450 nits, FHD",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.13 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad E14 Gen 4 R5 5625U,16.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS",AMD,Ryzen 5, 5625U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1640 g,Trung Quốc,FPT
Laptop MSI Modern 14 C13M-458VN i5 1335U,16.990.000,14.0 inch, FHD , IPS," 60 Hz, IPS",Intel, i5, 1335U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop LG Gram 14Z90Q-G.AJ32A5 i3 1220P,16.590.000,14.0 inch, 1200 x 1920 Pixels, IPS," 60 Hz, 350 nits, IPS LCD",Intel, i3, 1220P,8 GB, LPDDR5, 5200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11,999 g,Trung Quốc,FPT
Laptop Asus Vivobook Pro M3401QA-KM006W R5 5600H,16.490.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, 600 nits, OLED",AMD,Ryzen 5, 5600H,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 g,Trung Quốc,FPT
Laptop Asus Vivobook X1605VA-MB105W i5 1335U,16.190.000,16.0 inch, 1920 x 1200 Pixels, IPS," 60 Hz, Anti-Glare",Intel, i5, 1335U,8 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.68 kg,Trung Quốc,FPT
Laptop Acer Aspire Gaming A715-42G-R1SB R5 5500U,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView Anti-glare LED-backlit",AMD,Ryzen 5, 5500U,8 GB, DDR4, 3200 MHz,SSD 256 GB,NVIDIA GeForce GTX 1650 4GB; AMD Radeon Graphics,Windows 10 Home Single Language,2.1 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad Flex 5 14ALC05 R5 5500U,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS Glossy," 60 Hz, 250 nits, FHD Touch",AMD,Ryzen 5, 5500U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.5 kg,Trung Quốc,FPT
Laptop Asus Expertbook B1400CEAE-EB3182W i5 1135G7,15.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, FHD",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1452 g,Trung Quốc,FPT
Laptop Asus Expertbook B1500CEAE-BQ2234W i5 1135G7,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, FHD",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1705,Trung Quốc,FPT
Laptop MSI Gaming GF63 Thin 11SC-1090VN i5 11400H,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, IPS FHD",Intel, i5, 11400H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB,Windows 11,1.86 kg,Trung Quốc,FPT
Laptop HP Pavilion x360 14 ek0059TU i3 1215U,15.090.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, FHD, Touch screen",Intel, i3, 1215U,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.517 kg,Trung Quốc,FPT
Laptop Acer Aspire 7 Gaming A715-76-57CY i5 12450H,14.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView LED-backlit",Intel, i5, 12450H,8 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,2.1 kg,Trung Quốc,FPT
Laptop HP 14s-em0086AU R5 7520U,13.690.000,14.0 inch , 1920 x 1080 Pixels, SVA," 60 Hz Màn hình chính:, 250 nits, FHD Chính:",AMD,Ryzen 5, 7520U,16 GB, LPDDR5, 5500 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop Dell Vostro V3520 i3 1215U,12.490.000,15.6 inch , 1920 x 1080 Pixels, WVA," 120 Hz, 250 nits, Anti -glare LED-Backlit Display Chính:",Intel, i3, 1215U,8 GB , DDR4, 2666 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.83 kg,Trung Quốc,FPT
Laptop Asus Vivobook A415EA-EK2429W i3 1115G4,12.490.000,14.0 inch, 1920 x 1080 Pixels, TN," 60 Hz, 220 nits, FHD",Intel, i3, 1115G4,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.35 kg,Trung Quốc,FPT
Laptop HP 14s fq1065AU R5 5500U,12.490.000,14.0 inch, 1366 x 768 Pixels, SVA," 60 Hz, 250 nits, Anti-glare Micro-edge WLED-backlit",AMD,Ryzen 5, 5500U,8 GB , DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.47 kg,Trung Quốc,FPT
Laptop Asus Vivobook X415EA-EB640W i5 1135G7,11.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Anti - Glare",Intel, i5, 1135G7,4 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11,1.6 kg,Trung Quốc,FPT
Laptop Asus Vivobook 16 X1605ZA-MB193W i3 1215U,11.890.000,16.0 inch, 1920 x 1200 Pixels, IPS," 60 Hz, Anti - Glare",Intel, i3, 1215U,8 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.68 kg,Trung Quốc,FPT
Laptop HP 245 G9 R5 5625U,11.490.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, LCD",AMD,Ryzen 5, 5625U,8 GB , DDR4, 3200 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.47 kg,Trung Quốc,FPT
Laptop Acer Aspire 3 A315-57G-573F i5 1035G1,10.990.000,15.6 inch, 1920 x 1080 Pixels, TN," 60 Hz, Acer ComfyView Anti-glare LED-backlit",Intel, i5, 1035G1,8 GB , DDR4, 2400 MHz,SSD 512 GB,NVIDIA GeForce MX330 2GB; Intel UHD Graphics,Windows 11 Home,1.9 kg,Trung Quốc,FPT
Laptop HP Pavilion 14-dv2050TU i3 1215U,10.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, LED Backlit",Intel, i3, 1215U,4 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home,1.41 kg,Trung Quốc,FPT
Laptop Acer Aspire 3 A315-58-35AG i3 1115G4,9.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Acer ComfyView Anti-glare LED-backlit",Intel, i3, 1115G4,4 GB , DDR4, 2400 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.74 kg,Trung Quốc,FPT
Laptop MSI Gaming Stealth 16Studio A13VG-057VN i9 13900H,77.490.000,16.0 inch, 3840 x 2400 Pixels, IPS," 120 Hz, IPS",Intel, i9, 13900H,32 GB, DDR5, 5200 MHz,SSD 2 TB,NVIDIA Geforce RTX 4070 8GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,1.99 kg,Trung Quốc,FPT
Laptop MSI Gaming Raider GE68HX 13VF-050VN i7 13700HX,59.990.000,16.0 inch, 2560 x 1600 Pixels, IPS," 240 Hz, IPS",Intel, i7, 13700HX,16 MB, DDR5, 5600 MHz,SSD 2 TB,NVIDIA GeForce RTX 4060 8GB; Intel UHD Graphics,Windows 11 Home,2.7 kg,Trung Quốc,FPT
Laptop Asus Gaming ROG Zephyrus GU603VU-N3898W i7 13620H,44.990.000,16.0 inch, 1920 x 1200 Pixels, IPS," 165 Hz, 250 nits, Anti - Glare",Intel, i7, 13620H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,2 kg,Trung Quốc,FPT
Laptop Asus Gaming ROG Zephyrus GA402NJ-L4056W R7 7735HS,42.990.000,14.0 inch, 1920 x 1200 Pixels, IPS," 144 Hz, 400 nits, Anti - Glare",AMD,Ryzen 7, 7735HS,16 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home,1.72 kg,Trung Quốc,FPT
MacBook Air 15 inch M2 2023 8CPU 10GPU 16GB,37.890.000,15.3 inch, 2880 x 1864 Pixels, OLED," 60 Hz, 500 nits, Liquid Retina",Apple,, 8 - Core,16 GB, Hãng không công bố, Hãng không công bố,SSD 256 GB,Apple M2 GPU 10 nhân,Ventura,1.51 kg,Trung Quốc,FPT
Laptop Asus Zenbook UX5304VA-NQ125W i7 1355U,36.990.000,13.3 inch, 2880 x 1800 Pixels, IPS," 60 Hz, 550 nits, OLED",Intel, i7, 1355U,16 GB, LPDDR5, 5200 MHz,SSD 512 GB,,Windows 11 Home,1 kg,Trung Quốc,FPT
Laptop LG Gram 14T90R-G.AH55A5 i5 1340P,35.490.000,14.0 inch, 1920 x 1200 Pixels, IPS," 60 Hz, Anti - Glare",Intel, i5, 1340P,16 GB, LPDDR5, 5200 MHz,SSD 512 GB,,Windows 11 Home,1250 g,Trung Quốc,FPT
Laptop Asus TUF Gaming FA507NV-LP046W R7 7735HS,33.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",AMD,Ryzen 7, 7735HS,8 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 4060 8GB; AMD Radeon Graphics,Windows 11,2.2 kg,Trung Quốc,FPT
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB,32.890.000,15.3 inch, 2880 x 1864 Pixels, OLED," 60 Hz, 500 nits, Liquid Retina",Apple,, 8 - Core,8 GB, Hãng không công bố, Hãng không công bố,SSD 256 GB,Apple M2 GPU 10 nhân,Ventura,1.51 kg,Trung Quốc,FPT
Laptop Dell Vostro V5620 i7 1260P,29.990.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 250 nits, IPS LCD LED Backlit",Intel, i7, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.97 kg,Trung Quốc,FPT
Laptop MSI Summit E14 Flip Evo A12MT-210VN i7 1280P,28.990.000,14.0 inch, 2880 x 1800 Pixels, IPS," 60 Hz, IPS",Intel, i7, 1280P,16 GB, LPDDR5, 4800 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.6 kg,Trung Quốc,FPT
Laptop Microsoft Surface Pro 9 i5 1235U,27.990.000,13.0 inch , 2880 x 1920 Pixels, IPS," 120 Hz, IPS Chính:",Intel, i5, 1235U,8 GB , DDR5, 4800 MHz,SSD 128 GB,Intel Iris Xe Graphics,Windows 11 Home,879 g,Trung Quốc,FPT
Laptop Dell Inspiron 16 N5620 i7-1255U,26.490.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 300 nits, Anti - Glare",Intel, i7, 1255U,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.97 kg,Trung Quốc,FPT
Laptop MSI Gaming Katana GF66 12UDK-814VN i7 12650H,25.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",Intel, i7, 12650H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel UHD Graphics,Windows 11 Home,2.25 kg,Trung Quốc,FPT
Laptop Asus Vivobook S3405VA-KM071W i9 13900H,25.690.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, OLED",Intel, i9, 13900H,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop Lenovo ThinkBook 14p G3 ARH R5-6600H,25.290.000,1.4 inch, 1080 x 2240 Pixels, IPS," 60 Hz, 300 nits, IPS",AMD,Ryzen 5, 6600H,16 GB, DDR5, 6400 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2088TU i7 1260P,24.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, IPS FHD",Intel, i7, 1260P,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Dell Inspiron 16 5620 i5 1240P,22.490.000,16.0 inch, 1920 x 1200 Pixels, WVA," 60 Hz, 250 nits, Anti-Glare",Intel, i5, 1240P,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.97 kg,Trung Quốc,FPT
Laptop Acer Aspire Gaming A715-43G-R8GA R5 5625U,21.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",AMD,Ryzen 5, 5625U,8 GB , DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,2.1 kg,Trung Quốc,FPT
Laptop Gigabyte Gaming G5 GE-51VN213SH i5 12500H,20.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Anti-Glare LED-Backlit Display",Intel, i5, 12500H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11 Home,1.9 kg,Trung Quốc,FPT
Laptop MSI Modern 14 C13M-607VN i7 1355U,20.490.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, FHD",Intel, i7, 1355U,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad Slim 5 Light 14ABR8 R7 7730,19.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, 300 nits, Anti-Glare LED-Backlit Display",AMD,Ryzen 7, 7730U,16 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.17 kg,Trung Quốc,FPT
Laptop Lenovo ThinkPad E15 Gen 4 R5-5625U,19.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, FHD",AMD,Ryzen 5, 5625U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.78 kg,Trung Quốc,FPT
Laptop Asus Zenbook UM5401QA-KN053W R5 5600H,19.490.000,14.0 inch , 2880 x 1800 Pixels, IPS," 90 Hz Màn hình chính:, OLED Chính:",AMD,Ryzen 5, 5600H,8 GB , DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop HP 15s fq5160TU i5 1235U,19.190.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti-Glare",Intel, i5, 1235U,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Asus Vivobook A515EA-L12033W i5 1135G7,18.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 600 nits, Anti-glare LED-backlit",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11,1.80 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B7M-238VN R7 7730U,16.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, FHD",AMD,Ryzen 7, 7730U,16 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.75 kg,Trung Quốc,FPT
